Subjects,Tokens
Discrete Mathematical Structures,DMS
OOPS with C++,OOPS
Data Structures in C,DSC
Web Programming,IT
Linear Algebra,LA
JAVA,JAVA
Database Management systems,DBMS
Operating Systems,OS
Data Communication,DC
Microprocessors,MP
UNIX,UNIX
System Software,SS
Object Oriented Modelling and Design Patterns,OOAD
Computer Networks,CN
Parallel Computing,PC
Advanced Data Structures,ADC
Entrepreneurship,ENT
Computer Graphics,CG
C#,CSH
Digital Image Processing,DIM
Mobile Computing,MC
